,Hours,NO1,NO2,NO3,NO4,NO5,NO
26-03-2020,23 - 00,4127,4353,3087,2452,1850,15868
27-03-2020,00 - 01,3951,4232,3133,2411,1917,15644
27-03-2020,01 - 02,3791,4174,2957,2398,1814,15133
27-03-2020,02 - 03,3775,4166,3023,2375,1795,15133
27-03-2020,03 - 04,3764,4202,3065,2373,1849,15252
27-03-2020,04 - 05,3792,4234,3169,2374,1889,15457
27-03-2020,05 - 06,3981,4376,3254,2402,1960,15973
27-03-2020,06 - 07,4322,4595,3264,2473,2028,16683
27-03-2020,07 - 08,4717,4867,3417,2524,2136,17660
27-03-2020,08 - 09,4963,5004,3665,2563,2173,18368
27-03-2020,09 - 10,5007,4988,3558,2609,2221,18383
27-03-2020,10 - 11,4927,4855,3485,2585,2184,18036
27-03-2020,11 - 12,4837,4811,3437,2572,2136,17793
27-03-2020,12 - 13,4691,4798,3440,2496,2114,17538
27-03-2020,13 - 14,4573,4713,3442,2428,2111,17266
27-03-2020,14 - 15,4530,4636,3424,2422,2096,17108
27-03-2020,15 - 16,4472,4633,3359,2444,2102,17011
27-03-2020,16 - 17,4486,4557,3308,2435,2072,16858
27-03-2020,17 - 18,4508,4452,3344,2419,2042,16765
27-03-2020,18 - 19,4658,4511,3382,2504,2051,17106
27-03-2020,19 - 20,4798,4620,3454,2481,2106,17458
27-03-2020,20 - 21,4721,4600,3386,2412,2083,17203
27-03-2020,21 - 22,4542,4468,3295,2349,2029,16682
27-03-2020,22 - 23,4368,4352,3254,2368,1965,16307
27-03-2020,23 - 00,4262,4242,3218,2386,1951,16058
28-03-2020,00 - 01,4148,4131,3141,2387,1935,15741
28-03-2020,01 - 02,4026,4061,3237,2290,1891,15505
28-03-2020,02 - 03,3972,4142,3445,2335,1875,15768
28-03-2020,03 - 04,3943,4269,3145,2409,1878,15644
28-03-2020,04 - 05,3991,4245,3104,2336,1888,15562
28-03-2020,05 - 06,4098,4217,3150,2347,1907,15718
28-03-2020,06 - 07,4136,4230,3126,2432,1906,15830
28-03-2020,07 - 08,4182,4385,3326,2481,1957,16331
28-03-2020,08 - 09,4214,4612,3378,2545,2073,16821
28-03-2020,09 - 10,4363,4528,3437,2575,2151,17054
28-03-2020,10 - 11,4446,4493,3421,2563,2124,17046
28-03-2020,11 - 12,4422,4473,3437,2560,2086,16979
28-03-2020,12 - 13,4364,4412,3450,2552,2021,16799
28-03-2020,13 - 14,4334,4281,3475,2506,1988,16584
28-03-2020,14 - 15,4342,4203,3471,2537,1990,16542
28-03-2020,15 - 16,4263,4170,3426,2569,2010,16438
28-03-2020,16 - 17,4351,4208,3358,2668,2036,16621
28-03-2020,17 - 18,4533,4355,3474,2649,2064,17074
28-03-2020,18 - 19,4800,4545,3630,2689,2147,17811
28-03-2020,19 - 20,4975,4663,3687,2703,2206,18234
28-03-2020,20 - 21,4868,4559,3815,2687,2163,18092
28-03-2020,21 - 22,4764,4443,3538,2637,2105,17486
28-03-2020,22 - 23,4628,4357,3348,2570,2064,16967
28-03-2020,23 - 00,4541,4222,3439,2467,2019,16688
29-03-2020,00 - 01,4429,4274,3266,2441,2020,16429
29-03-2020,01 - 02,4333,4273,3247,2459,1992,16303
29-03-2020,02 - 03,,,,,,
29-03-2020,03 - 04,4269,4267,3283,2397,2002,16218
29-03-2020,04 - 05,4319,4273,3330,2326,1984,16233
29-03-2020,05 - 06,4404,4443,3406,2401,2037,16690
29-03-2020,06 - 07,4515,4480,3388,2412,2050,16845
29-03-2020,07 - 08,4566,4476,3516,2377,2084,17019
29-03-2020,08 - 09,4562,4546,3542,2411,2099,17159
29-03-2020,09 - 10,4565,4626,3441,2447,2129,17208
29-03-2020,10 - 11,4609,4734,3426,2461,2157,17388
29-03-2020,11 - 12,4621,4723,3537,2514,2181,17577
29-03-2020,12 - 13,4563,4632,3671,2504,2198,17567
29-03-2020,13 - 14,4446,4592,3572,2490,2217,17316
29-03-2020,14 - 15,4330,4464,3488,2532,2158,16971
29-03-2020,15 - 16,4360,4542,3648,2512,2141,17203
29-03-2020,16 - 17,4471,4707,3627,2544,2150,17500
29-03-2020,17 - 18,4588,4565,3447,2579,2196,17375
29-03-2020,18 - 19,4662,4578,3554,2582,2198,17574
29-03-2020,19 - 20,4685,4795,3530,2545,2216,17771
29-03-2020,20 - 21,4718,4936,3568,2649,2220,18092
29-03-2020,21 - 22,4680,4729,3490,2610,2213,17722
29-03-2020,22 - 23,4544,4499,3386,2561,2150,17140
29-03-2020,23 - 00,4412,4441,3248,2532,2086,16719
30-03-2020,00 - 01,4216,4282,3239,2485,2051,16272
30-03-2020,01 - 02,4117,4166,3172,2447,2004,15907
30-03-2020,02 - 03,4049,4180,3153,2467,1993,15842
30-03-2020,03 - 04,4016,4260,3220,2465,1954,15915
30-03-2020,04 - 05,4094,4306,3227,2478,1996,16100
30-03-2020,05 - 06,4302,4428,3320,2534,2025,16609
30-03-2020,06 - 07,4773,4751,3464,2594,2139,17721
30-03-2020,07 - 08,5215,4959,3665,2715,2259,18812
30-03-2020,08 - 09,5426,5070,3822,2733,2320,19372
30-03-2020,09 - 10,5359,5066,3864,2824,2336,19449
30-03-2020,10 - 11,5244,4972,3804,2765,2294,19079
30-03-2020,11 - 12,5113,4933,3739,2740,2250,18775
30-03-2020,12 - 13,5050,4885,3638,2712,2241,18524
30-03-2020,13 - 14,4975,4800,3542,2656,2205,18179
30-03-2020,14 - 15,4853,4714,3504,2659,2184,17913
30-03-2020,15 - 16,4759,4669,3547,2683,2144,17802
30-03-2020,16 - 17,4727,4619,3570,2641,2122,17679
30-03-2020,17 - 18,4649,4581,3520,2588,2097,17434
30-03-2020,18 - 19,4618,4579,3550,2592,2088,17428
30-03-2020,19 - 20,4707,4648,3546,2591,2094,17585
30-03-2020,20 - 21,4928,4534,3557,2686,2183,17888
30-03-2020,21 - 22,4931,4743,3595,2635,2200,18104
30-03-2020,22 - 23,4750,4650,3401,2559,2151,17510
30-03-2020,23 - 00,4532,4498,3227,2609,2078,16943
31-03-2020,00 - 01,4282,4376,3254,2574,2024,16510
31-03-2020,01 - 02,4212,4364,3216,2473,1986,16251
31-03-2020,02 - 03,4171,4308,3206,2472,1959,16116
31-03-2020,03 - 04,4144,4345,3228,2449,1945,16110
31-03-2020,04 - 05,4198,4418,3225,2421,1976,16239
31-03-2020,05 - 06,4404,4563,3200,2507,2029,16703
31-03-2020,06 - 07,4807,4818,3325,2601,2105,17655
31-03-2020,07 - 08,5188,5023,3437,2719,2225,18592
31-03-2020,08 - 09,5347,5093,3581,2740,2272,19033
31-03-2020,09 - 10,5307,5053,3663,2745,2281,19048
31-03-2020,10 - 11,5076,4878,3670,2718,2240,18582
31-03-2020,11 - 12,4869,4704,3661,2711,2280,18225
31-03-2020,12 - 13,4662,4675,3629,2618,2242,17827
31-03-2020,13 - 14,4501,4659,3599,2589,2181,17529
31-03-2020,14 - 15,4430,4663,3580,2651,2167,17491
31-03-2020,15 - 16,4398,4621,3611,2643,2159,17432
31-03-2020,16 - 17,4400,4565,3565,2571,2099,17201
31-03-2020,17 - 18,4367,4521,3589,2535,2007,17020
31-03-2020,18 - 19,4306,4508,3520,2467,1983,16785
31-03-2020,19 - 20,4330,4565,3511,2573,2008,16986
31-03-2020,20 - 21,4450,4619,3528,2586,2068,17251
31-03-2020,21 - 22,4420,4600,3478,2584,2105,17188
31-03-2020,22 - 23,4218,4415,3408,2607,1993,16641
31-03-2020,23 - 00,3993,4207,3323,2515,1983,16020
1/4/20,00 - 01,3797,4218,3208,2459,1917,15600
1/4/20,01 - 02,3695,4127,3066,2439,1893,15219
1/4/20,02 - 03,3652,4068,3052,2414,1881,15067
1/4/20,03 - 04,3637,4132,3087,2435,1864,15156
1/4/20,04 - 05,3687,4111,3115,2490,1898,15300
1/4/20,05 - 06,3889,4235,3158,2466,1963,15710
1/4/20,06 - 07,4230,4488,3266,2581,2031,16595
1/4/20,07 - 08,4594,4683,3307,2597,2102,17282
1/4/20,08 - 09,4885,4706,3423,2650,2147,17811
1/4/20,09 - 10,4900,4760,3358,2610,2189,17817
1/4/20,10 - 11,4810,4873,3467,2575,2203,17928
1/4/20,11 - 12,4708,4804,3498,2595,2218,17822
1/4/20,12 - 13,4633,4697,3569,2546,2205,17651
1/4/20,13 - 14,4554,4751,3519,2522,2124,17470
1/4/20,14 - 15,4499,4759,3550,2468,2150,17426
1/4/20,15 - 16,4500,4715,3653,2478,2117,17464
1/4/20,16 - 17,4519,4684,3421,2450,2070,17144
1/4/20,17 - 18,4458,4616,3401,2468,2065,17008
1/4/20,18 - 19,4367,4476,3262,2437,2056,16598
1/4/20,19 - 20,4346,4500,3330,2478,2045,16699
1/4/20,20 - 21,4498,4614,3324,2491,2048,16974
1/4/20,21 - 22,4435,4532,3356,2571,2039,16931
1/4/20,22 - 23,4238,4456,3313,2540,1992,16538
1/4/20,23 - 00,4010,4232,3242,2463,1922,15869
2/4/20,00 - 01,3773,4147,3130,2415,1873,15338
2/4/20,01 - 02,3735,4147,3167,2408,1827,15284
2/4/20,02 - 03,3751,4165,3180,2378,1810,15283
2/4/20,03 - 04,3754,4120,3163,2413,1823,15272
2/4/20,04 - 05,3761,4120,3244,2437,1795,15356
2/4/20,05 - 06,3949,4270,3233,2427,1838,15716
2/4/20,06 - 07,4330,4516,3322,2493,1906,16566
2/4/20,07 - 08,4741,4883,3332,2587,2018,17560
2/4/20,08 - 09,4984,5051,3637,2632,2117,18421
2/4/20,09 - 10,4929,4934,3648,2629,2151,18290
2/4/20,10 - 11,4829,4894,3732,2604,2215,18273
2/4/20,11 - 12,4716,4895,3660,2543,2210,18024
2/4/20,12 - 13,4776,5048,3695,2500,2195,18214
2/4/20,13 - 14,4807,4937,3693,2497,2181,18115
2/4/20,14 - 15,4807,4983,3769,2528,2206,18293
2/4/20,15 - 16,4685,4944,3793,2546,2188,18156
2/4/20,16 - 17,4607,4931,3704,2492,2145,17879
2/4/20,17 - 18,4628,4927,3579,2527,2146,17806
2/4/20,18 - 19,4732,4867,3624,2568,2136,17927
2/4/20,19 - 20,4828,4786,3484,2576,2138,17812
2/4/20,20 - 21,4925,4842,3296,2616,2129,17808
2/4/20,21 - 22,4777,4809,3417,2600,2116,17719
2/4/20,22 - 23,4553,4690,3559,2549,2056,17407
2/4/20,23 - 00,4344,4506,3444,2491,1973,16758
3/4/20,00 - 01,4123,4406,3356,2452,1881,16218
3/4/20,01 - 02,3985,4408,3294,2424,1879,15990
3/4/20,02 - 03,3942,4370,3367,2396,1854,15928
3/4/20,03 - 04,3956,4372,3328,2407,1840,15902
3/4/20,04 - 05,4011,4433,3349,2428,1897,16117
3/4/20,05 - 06,4184,4578,3362,2429,1988,16541
3/4/20,06 - 07,4590,4837,3463,2453,2024,17367
3/4/20,07 - 08,4978,5084,3638,2581,2137,18418
3/4/20,08 - 09,5148,5165,3698,2655,2183,18850
3/4/20,09 - 10,5089,5174,3843,2616,2179,18900
3/4/20,10 - 11,4935,5244,3834,2611,2172,18795
3/4/20,11 - 12,4906,5175,3779,2605,2151,18616
3/4/20,12 - 13,4776,5085,3762,2540,2116,18279
3/4/20,13 - 14,4659,4966,3832,2525,2080,18061
3/4/20,14 - 15,4560,4805,3677,2569,2039,17649
3/4/20,15 - 16,4509,4768,3771,2547,2016,17611
3/4/20,16 - 17,4462,4748,3598,2535,1991,17334
3/4/20,17 - 18,4508,4640,3774,2466,2006,17393
3/4/20,18 - 19,4452,4754,3760,2459,1997,17423
3/4/20,19 - 20,4494,4829,3713,2543,2029,17607
3/4/20,20 - 21,4639,4927,3734,2604,2047,17952
3/4/20,21 - 22,4568,4915,3712,2564,2046,17804
3/4/20,22 - 23,4427,4696,3626,2532,1999,17279
3/4/20,23 - 00,4275,4564,3568,2481,1912,16800
4/4/20,00 - 01,4127,4486,3420,2443,1905,16382
4/4/20,01 - 02,4036,4396,3319,2412,1874,16038
4/4/20,02 - 03,4016,4348,3310,2348,1839,15861
4/4/20,03 - 04,4001,4339,3309,2372,1843,15864
4/4/20,04 - 05,3997,4369,3558,2429,1870,16223
4/4/20,05 - 06,4067,4398,3651,2452,1895,16463
4/4/20,06 - 07,4237,4515,3353,2458,1906,16470
4/4/20,07 - 08,4348,4559,3284,2460,1929,16579
4/4/20,08 - 09,4405,4670,3374,2428,1985,16862
4/4/20,09 - 10,4534,4808,3511,2501,2017,17370
4/4/20,10 - 11,4579,4774,3745,2511,2008,17616
4/4/20,11 - 12,4485,4727,3737,2522,1993,17465
4/4/20,12 - 13,4419,4694,3572,2475,1962,17123
4/4/20,13 - 14,4348,4698,3536,2401,1923,16906
4/4/20,14 - 15,4285,4619,3267,2418,1888,16476
4/4/20,15 - 16,4287,4645,3279,2383,1866,16459
4/4/20,16 - 17,4288,4688,3494,2479,1853,16803
4/4/20,17 - 18,4322,4758,3367,2479,1892,16817
4/4/20,18 - 19,4384,4772,3308,2486,1944,16893
4/4/20,19 - 20,4437,4767,3284,2515,1982,16985
4/4/20,20 - 21,4488,4680,3489,2566,1976,17200
4/4/20,21 - 22,4395,4583,3484,2538,1960,16960
4/4/20,22 - 23,4245,4514,3464,2524,1914,16659
4/4/20,23 - 00,4117,4398,3369,2494,1858,16235
5/4/20,00 - 01,3966,4288,3327,2471,1842,15893
5/4/20,01 - 02,3815,4197,3339,2439,1807,15596
5/4/20,02 - 03,3730,4121,3289,2397,1771,15308
5/4/20,03 - 04,3698,4097,3266,2400,1761,15222
5/4/20,04 - 05,3704,4097,3347,2384,1752,15284
5/4/20,05 - 06,3743,4114,3362,2377,1760,15356
5/4/20,06 - 07,3786,4165,3332,2310,1772,15364
5/4/20,07 - 08,3854,4113,3154,2310,1779,15210
5/4/20,08 - 09,4042,4296,3163,2354,1812,15667
5/4/20,09 - 10,4266,4510,3206,2401,1860,16243
5/4/20,10 - 11,4476,4641,3315,2425,1880,16737
5/4/20,11 - 12,4547,4663,3338,2419,1878,16846
5/4/20,12 - 13,4513,4620,3357,2391,1886,16767
5/4/20,13 - 14,4438,4460,3298,2428,1877,16501
5/4/20,14 - 15,4342,4308,3153,2482,1850,16135
5/4/20,15 - 16,4268,4209,3174,2401,1810,15861
5/4/20,16 - 17,4089,4150,3284,2395,1801,15718
5/4/20,17 - 18,4089,4146,3202,2427,1889,15753
5/4/20,18 - 19,4092,4227,3194,2449,1905,15867
5/4/20,19 - 20,4094,4266,3187,2462,1909,15918
5/4/20,20 - 21,4205,4364,3197,2512,1859,16136
5/4/20,21 - 22,4286,4346,3259,2535,1872,16298
5/4/20,22 - 23,4147,4285,3240,2518,1781,15972
5/4/20,23 - 00,4004,4178,3189,2436,1717,15523
6/4/20,00 - 01,3820,4121,3201,2381,1695,15217
6/4/20,01 - 02,3686,3984,2997,2360,1672,14699
6/4/20,02 - 03,3671,3997,2972,2394,1652,14686
6/4/20,03 - 04,3627,3974,2964,2354,1583,14502
6/4/20,04 - 05,3668,4049,3044,2344,1651,14755
6/4/20,05 - 06,3838,4163,3200,2386,1704,15292
6/4/20,06 - 07,4186,4348,3235,2448,1761,15977
6/4/20,07 - 08,4432,4536,3452,2518,1847,16784
6/4/20,08 - 09,4605,4610,3514,2571,1890,17191
6/4/20,09 - 10,4604,4646,3484,2573,1893,17201
6/4/20,10 - 11,4538,4537,3463,2578,1859,16975
6/4/20,11 - 12,4389,4380,3272,2564,1815,16420
6/4/20,12 - 13,4233,4257,3197,2563,1801,16052
6/4/20,13 - 14,4115,4345,3126,2504,1784,15873
6/4/20,14 - 15,4029,4269,3093,2472,1744,15607
6/4/20,15 - 16,3917,4194,3083,2415,1760,15369
6/4/20,16 - 17,3889,4133,3015,2405,1809,15251
6/4/20,17 - 18,3910,4118,3005,2376,1836,15245
6/4/20,18 - 19,3937,4315,3013,2384,1836,15484
6/4/20,19 - 20,3983,4397,3003,2427,1832,15642
6/4/20,20 - 21,4073,4399,3009,2479,1830,15790
6/4/20,21 - 22,4030,4319,3053,2493,1796,15692
6/4/20,22 - 23,3855,4179,3031,2366,1738,15169
6/4/20,23 - 00,3613,4016,2856,2362,1686,14533
7/4/20,00 - 01,3392,3897,2797,2301,1642,14028
7/4/20,01 - 02,3272,3865,2711,2241,1615,13705
7/4/20,02 - 03,3152,3868,2706,2244,1592,13561
7/4/20,03 - 04,3061,3998,2795,2211,1575,13639
7/4/20,04 - 05,2867,4275,2895,2196,1662,13894
7/4/20,05 - 06,3076,4481,2951,2221,1641,14369
7/4/20,06 - 07,3641,4664,2890,2331,1737,15262
7/4/20,07 - 08,3953,4552,2945,2409,1877,15737
7/4/20,08 - 09,4058,4372,3013,2399,1904,15746
7/4/20,09 - 10,4037,4433,3084,2423,1906,15882
7/4/20,10 - 11,4021,4417,3083,2451,1891,15862
7/4/20,11 - 12,3997,4371,3035,2414,1867,15683
7/4/20,12 - 13,3956,4230,3013,2369,1836,15404
7/4/20,13 - 14,3831,4193,2994,2356,1765,15139
7/4/20,14 - 15,3749,4141,2986,2379,1777,15031
7/4/20,15 - 16,3723,4125,2976,2399,1757,14981
7/4/20,16 - 17,3723,4066,2911,2384,1756,14839
7/4/20,17 - 18,3614,4029,2915,2372,1743,14674
7/4/20,18 - 19,3736,4113,2954,2328,1753,14884
7/4/20,19 - 20,3780,4197,3116,2318,1768,15178
7/4/20,20 - 21,3895,4281,3192,2364,1808,15539
7/4/20,21 - 22,3914,4234,3254,2391,1811,15604
7/4/20,22 - 23,3743,4150,3097,2419,1757,15166
7/4/20,23 - 00,3553,4034,2971,2353,1707,14618
8/4/20,00 - 01,3479,3911,2903,2285,1654,14233
8/4/20,01 - 02,3328,3794,2772,2283,1616,13792
8/4/20,02 - 03,3272,3777,2738,2279,1587,13653
8/4/20,03 - 04,3318,3827,2723,2292,1584,13745
8/4/20,04 - 05,3382,3926,2720,2261,1618,13908
8/4/20,05 - 06,3474,3908,2775,2226,1674,14056
8/4/20,06 - 07,3699,4005,2901,2272,1711,14588
8/4/20,07 - 08,4009,4141,3077,2400,1800,15427
8/4/20,08 - 09,4201,4341,3018,2392,1885,15836
8/4/20,09 - 10,4263,4498,3082,2386,1864,16092
8/4/20,10 - 11,4288,4549,3184,2448,1939,16407
8/4/20,11 - 12,4274,4540,3279,2453,1919,16465
8/4/20,12 - 13,4227,4443,3383,2406,1908,16367
8/4/20,13 - 14,4171,4341,3244,2439,1898,16093
8/4/20,14 - 15,4077,4286,3160,2540,1875,15938
8/4/20,15 - 16,4033,4196,3135,2471,1888,15723
8/4/20,16 - 17,3997,4157,2984,2305,1873,15316
8/4/20,17 - 18,3983,4304,3032,2270,1861,15449
8/4/20,18 - 19,3907,4366,3026,2283,1828,15409
8/4/20,19 - 20,3886,4353,3063,2337,1805,15443
8/4/20,20 - 21,3928,4361,3111,2369,1823,15590
8/4/20,21 - 22,3883,4253,3136,2368,1815,15456
8/4/20,22 - 23,3642,4008,3070,2363,1768,14850
8/4/20,23 - 00,3485,3891,3037,2348,1735,14495
9/4/20,00 - 01,3397,3943,3001,2326,1706,14372
9/4/20,01 - 02,3305,3842,2976,2241,1678,14042
9/4/20,02 - 03,3220,3813,2930,2234,1663,13860
9/4/20,03 - 04,3287,3833,2941,2190,1661,13911
9/4/20,04 - 05,3345,3844,2934,2150,1663,13936
9/4/20,05 - 06,3459,3948,2976,2172,1694,14249
9/4/20,06 - 07,3616,4066,2971,2221,1761,14635
9/4/20,07 - 08,3731,4076,3055,2279,1792,14933
9/4/20,08 - 09,3794,4199,3122,2319,1835,15268
9/4/20,09 - 10,3860,4322,3221,2404,1877,15684
9/4/20,10 - 11,3886,4332,3290,2416,1898,15823
9/4/20,11 - 12,3852,4383,3344,2399,1901,15879
9/4/20,12 - 13,3751,4371,3337,2394,1919,15773
9/4/20,13 - 14,3677,4182,3257,2384,1859,15359
9/4/20,14 - 15,3610,4098,3221,2357,1854,15140
9/4/20,15 - 16,3567,4084,3227,2341,1863,15083
9/4/20,16 - 17,3561,4098,3230,2298,1855,15042
9/4/20,17 - 18,3585,4162,3095,2274,1875,14992
9/4/20,18 - 19,3674,4148,3077,2310,1860,15068
9/4/20,19 - 20,3696,4112,3051,2333,1868,15061
9/4/20,20 - 21,3784,4267,3046,2321,1880,15297
9/4/20,21 - 22,3833,4322,3107,2372,1889,15522
9/4/20,22 - 23,3750,4288,3081,2352,1847,15318
9/4/20,23 - 00,3661,4172,3113,2276,1768,14990
10/4/20,00 - 01,3571,4098,2985,2283,1737,14674
10/4/20,01 - 02,3499,4012,2982,2281,1710,14485
10/4/20,02 - 03,3411,3976,2979,2250,1689,14305
10/4/20,03 - 04,3408,3993,2818,2255,1700,14174
10/4/20,04 - 05,3454,4018,2870,2233,1704,14278
10/4/20,05 - 06,3534,4058,2906,2297,1713,14508
10/4/20,06 - 07,3675,4106,2981,2336,1755,14853
10/4/20,07 - 08,3795,4258,3037,2340,1816,15246
10/4/20,08 - 09,3851,4390,3172,2344,1836,15593
10/4/20,09 - 10,3906,4407,3256,2418,1832,15819
10/4/20,10 - 11,3913,4337,3224,2404,1838,15716
10/4/20,11 - 12,3872,4297,3134,2442,1829,15573
10/4/20,12 - 13,3821,4268,3062,2419,1800,15370
10/4/20,13 - 14,3727,4217,3166,2419,1765,15295
10/4/20,14 - 15,3640,4152,3195,2395,1752,15134
10/4/20,15 - 16,3583,4128,3158,2368,1730,14967
10/4/20,16 - 17,3561,4165,3324,2338,1730,15118
10/4/20,17 - 18,3597,4240,3285,2278,1743,15143
10/4/20,18 - 19,3644,4256,3101,2316,1754,15070
10/4/20,19 - 20,3657,4251,2943,2345,1792,14988
10/4/20,20 - 21,3752,4293,3124,2368,1816,15353
10/4/20,21 - 22,3798,4311,3190,2352,1817,15468
10/4/20,22 - 23,3739,4237,3180,2311,1783,15250
10/4/20,23 - 00,3682,4150,3112,2332,1740,15016
11/4/20,00 - 01,3609,4055,3018,2321,1708,14712
11/4/20,01 - 02,3496,3983,2966,2249,1659,14353
11/4/20,02 - 03,3444,3964,2932,2260,1641,14240
11/4/20,03 - 04,3476,3960,2935,2167,1621,14160
11/4/20,04 - 05,3523,3948,2956,2246,1646,14318
11/4/20,05 - 06,3599,3952,2948,2257,1660,14416
11/4/20,06 - 07,3647,3956,2922,2289,1665,14478
11/4/20,07 - 08,3731,4023,2905,2268,1684,14611
11/4/20,08 - 09,3885,4186,2905,2280,1733,14988
11/4/20,09 - 10,4085,4377,3042,2396,1809,15707
11/4/20,10 - 11,4178,4549,3070,2394,1874,16065
11/4/20,11 - 12,4174,4559,3052,2363,1874,16023
11/4/20,12 - 13,4186,4587,3057,2344,1871,16044
11/4/20,13 - 14,4218,4649,3016,2345,1866,16095
11/4/20,14 - 15,4268,4666,2964,2322,1887,16106
11/4/20,15 - 16,4287,4663,2934,2303,1920,16108
11/4/20,16 - 17,4417,4616,2892,2309,1884,16117
11/4/20,17 - 18,4444,4572,2963,2322,1903,16204
11/4/20,18 - 19,4394,4575,3088,2294,1885,16236
11/4/20,19 - 20,4289,4577,3100,2310,1844,16120
11/4/20,20 - 21,4157,4473,3030,2326,1806,15793
11/4/20,21 - 22,4026,4288,3041,2317,1763,15435
11/4/20,22 - 23,3866,4237,2933,2258,1687,14980
11/4/20,23 - 00,3718,4126,2934,2214,1649,14640
12/4/20,00 - 01,3570,3884,2918,2202,1625,14199
12/4/20,01 - 02,3411,3891,2773,2197,1603,13875
12/4/20,02 - 03,3325,3846,2707,2208,1588,13673
12/4/20,03 - 04,3326,3808,2780,2209,1524,13648
12/4/20,04 - 05,3325,3901,2785,2217,1561,13789
12/4/20,05 - 06,3305,3969,2740,2221,1566,13800
12/4/20,06 - 07,3187,3970,2772,2204,1571,13704
12/4/20,07 - 08,3408,3976,2843,2205,1563,13995
12/4/20,08 - 09,3531,3940,2881,2248,1632,14233
12/4/20,09 - 10,3716,3986,2894,2284,1702,14581
12/4/20,10 - 11,3883,4098,2939,2305,1776,15001
12/4/20,11 - 12,3924,4123,3062,2339,1727,15175
12/4/20,12 - 13,3807,4108,3136,2322,1745,15119
12/4/20,13 - 14,3689,4129,3191,2299,1754,15062
12/4/20,14 - 15,3628,4078,3113,2338,1726,14883
12/4/20,15 - 16,3607,4081,3150,2399,1718,14954
12/4/20,16 - 17,3678,4051,3243,2382,1728,15082
12/4/20,17 - 18,3682,4099,3367,2390,1754,15292
12/4/20,18 - 19,3671,4120,3466,2407,1763,15427
12/4/20,19 - 20,3728,4170,3298,2362,1767,15326
12/4/20,20 - 21,3844,4230,3209,2330,1781,15394
12/4/20,21 - 22,3928,4261,3292,2303,1803,15587
12/4/20,22 - 23,3831,4251,3318,2308,1807,15515
12/4/20,23 - 00,3745,4208,3251,2281,1773,15258
13-04-2020,00 - 01,3669,4165,3266,2195,1762,15057
13-04-2020,01 - 02,3575,4087,3381,2194,1733,14970
13-04-2020,02 - 03,3564,4029,3201,2187,1717,14698
13-04-2020,03 - 04,3542,4104,3053,2057,1716,14473
13-04-2020,04 - 05,3565,4301,3120,2166,1733,14884
13-04-2020,05 - 06,3670,4531,3160,2203,1749,15313
13-04-2020,06 - 07,3791,4611,3248,2300,1778,15727
13-04-2020,07 - 08,3902,4464,3315,2319,1817,15817
13-04-2020,08 - 09,3989,4476,3381,2320,1880,16045
13-04-2020,09 - 10,4111,4485,3413,2360,1927,16296
13-04-2020,10 - 11,4208,4573,3453,2370,1935,16540
13-04-2020,11 - 12,4233,4585,3460,2384,1948,16610
13-04-2020,12 - 13,4213,4520,3416,2385,1948,16483
13-04-2020,13 - 14,4179,4460,3314,2367,1897,16217
13-04-2020,14 - 15,4184,4433,3263,2331,1907,16118
13-04-2020,15 - 16,4212,4400,3318,2265,1918,16114
13-04-2020,16 - 17,4293,4436,3318,2292,1921,16260
13-04-2020,17 - 18,4331,4424,3315,2310,1902,16281
13-04-2020,18 - 19,4332,4406,3353,2312,1895,16298
13-04-2020,19 - 20,4289,4469,3265,2307,1910,16239
13-04-2020,20 - 21,4378,4511,3158,2316,1895,16258
13-04-2020,21 - 22,4437,4480,3221,2375,1923,16436
13-04-2020,22 - 23,4321,4400,3156,2383,1887,16147
13-04-2020,23 - 00,4153,4442,3113,2344,1856,15908
14-04-2020,00 - 01,3980,4323,3116,2290,1809,15518
14-04-2020,01 - 02,3922,4228,3035,2274,1779,15237
14-04-2020,02 - 03,3923,4239,3106,2287,1770,15325
14-04-2020,03 - 04,3924,4334,3118,2258,1773,15407
14-04-2020,04 - 05,3978,4361,3174,2259,1794,15566
14-04-2020,05 - 06,4113,4414,3153,2315,1781,15776
14-04-2020,06 - 07,4441,4752,3239,2365,1979,16776
14-04-2020,07 - 08,4893,5094,3395,2370,2113,17865
14-04-2020,08 - 09,5096,5153,3514,2456,2143,18362
14-04-2020,09 - 10,5076,5230,3579,2469,2152,18506
14-04-2020,10 - 11,5024,5221,3510,2431,2099,18286
14-04-2020,11 - 12,4937,4882,3621,2412,2110,17962
14-04-2020,12 - 13,4808,4849,3597,2387,2125,17766
14-04-2020,13 - 14,4743,4826,3590,2373,2054,17586
14-04-2020,14 - 15,4677,4722,3585,2340,2015,17340
14-04-2020,15 - 16,4667,4713,3578,2328,2012,17298
14-04-2020,16 - 17,4812,4717,3580,2377,2007,17493
14-04-2020,17 - 18,4803,4796,3484,2309,1991,17384
14-04-2020,18 - 19,4714,4869,3412,2312,1974,17280
14-04-2020,19 - 20,4631,4840,3387,2351,1960,17169
14-04-2020,20 - 21,4604,4882,3372,2353,1942,17152
14-04-2020,21 - 22,4458,4873,3379,2345,1916,16971
14-04-2020,22 - 23,4224,4617,3285,2363,1831,16319
14-04-2020,23 - 00,3983,4338,3176,2330,1778,15605
15-04-2020,00 - 01,3774,4127,3127,2256,1741,15025
15-04-2020,01 - 02,3633,4025,3057,2244,1652,14612
15-04-2020,02 - 03,3568,3985,3020,2236,1625,14434
