,Hours,NO1,NO2,NO3,NO4,NO5,NO,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all
2/1/20,18 - 19,5467,4847,3338,2366,2204,18222,Stavanger,58.969976,5.733107,7.18,-0.42,6.11,8,1003,87,9.3,170,75
2/1/20,19 - 20,5325,4812,3258,2367,2173,17935,Stavanger,58.969976,5.733107,7.19,-1.11,6.11,8,1002,87,10.3,180,75
2/1/20,20 - 21,5213,4694,3145,2247,2119,17417,Stavanger,58.969976,5.733107,7.18,-1.12,6.11,8,1001,87,10.3,170,75
2/1/20,21 - 22,4968,4664,3148,2263,2068,17111,Stavanger,58.969976,5.733107,7.17,-1.13,6.11,8,1000,87,10.3,180,75
2/1/20,22 - 23,4699,4493,3063,2329,2031,16614,Stavanger,58.969976,5.733107,7.02,-0.77,6.11,8,999,93,9.8,180,75
2/1/20,23 - 00,4425,4316,3074,2276,1965,16055,Stavanger,58.969976,5.733107,7.02,-0.77,6.11,8,999,93,9.8,180,75
3/1/20,00 - 01,4181,4254,3012,2199,1919,15564,Stavanger,58.969976,5.733107,7.04,0.73,6.11,8,999,93,7.7,190,75
3/1/20,01 - 02,4022,4168,3032,2186,1871,15279,Stavanger,58.969976,5.733107,7.04,0.73,6.11,8,999,93,7.7,190,75
3/1/20,02 - 03,3922,4084,3063,2078,1841,14988,Stavanger,58.969976,5.733107,7.11,0.35,6.11,8,997,100,8.7,190,75
3/1/20,03 - 04,3887,4056,3014,2137,1823,14916,Stavanger,58.969976,5.733107,7.51,-0.17,6.11,9,997,93,9.8,190,75
3/1/20,04 - 05,3903,4083,3113,2101,1823,15022,Stavanger,58.969976,5.733107,7.82,1.33,6.67,9,996,93,8.2,190,75
3/1/20,05 - 06,4038,4226,3250,2124,1948,15586,Stavanger,58.969976,5.733107,7.93,1.81,6.67,9,995,93,7.7,190,90
3/1/20,06 - 07,4412,4466,3327,2250,2029,16485,Stavanger,58.969976,5.733107,7.55,1,7,8.34,995,93,8.2,220,75
3/1/20,07 - 08,4935,4777,3546,2458,2171,17886,Stavanger,58.969976,5.733107,6.26,-2.92,5,7.22,997,87,11.3,290,90
3/1/20,08 - 09,5189,4955,3760,2557,2257,18717,Stavanger,58.969976,5.733107,6.25,0.1,5,7.22,998,81,6.7,290,90
3/1/20,09 - 10,5252,4981,3706,2561,2279,18780,Stavanger,58.969976,5.733107,5.88,-3.19,4.44,7,1000,70,10.3,290,75
3/1/20,10 - 11,5321,5015,3755,2556,2315,18962,Stavanger,58.969976,5.733107,5.48,-2.38,3.89,6.67,1001,75,8.7,290,75
3/1/20,11 - 12,5334,4969,3800,2553,2270,18925,Stavanger,58.969976,5.733107,5.45,-1.86,4.08,6.11,1002,70,7.7,300,75
3/1/20,12 - 13,5312,4889,3860,2626,2284,18971,Stavanger,58.969976,5.733107,5.29,-3.17,4.44,6.11,1002,70,9.3,290,40
3/1/20,13 - 14,5283,4832,3888,2639,2276,18917,Stavanger,58.969976,5.733107,4.49,-0.86,2.78,6.11,1003,80,5.1,250,40
3/1/20,14 - 15,5366,4844,3903,2661,2306,19079,Stavanger,58.969976,5.733107,5.04,-1.49,3.33,6.11,1004,75,6.7,260,40
3/1/20,15 - 16,5527,4924,3891,2636,2314,19292,Stavanger,58.969976,5.733107,5.15,-2.56,3.89,6,1003,70,8.2,270,40
3/1/20,16 - 17,5657,5051,3827,2650,2356,19541,Stavanger,58.969976,5.733107,5.36,-2.32,4.44,7,1003,70,8.2,260,75
3/1/20,17 - 18,5683,5043,4027,2582,2346,19680,Stavanger,58.969976,5.733107,5,-4.2,3.33,6,1004,70,10.3,260,40
3/1/20,18 - 19,5644,4986,3953,2521,2323,19427,Stavanger,58.969976,5.733107,4.84,-4.62,3.33,6.11,1004,86,11.3,270,75
3/1/20,19 - 20,5604,4937,3866,2452,2312,19170,Stavanger,58.969976,5.733107,4.84,-4.62,3.33,6.11,1004,86,11.3,270,75
3/1/20,20 - 21,5361,4969,3802,2455,2282,18868,Stavanger,58.969976,5.733107,5.05,-4.35,3.89,6.11,1004,75,10.8,270,40
3/1/20,21 - 22,5262,4849,3731,2474,2240,18557,Stavanger,58.969976,5.733107,5.16,-6.18,3.89,6.11,1004,70,13.4,280,40
